Movie_Title,Year,Rating,Runtime(Mins),main_genre,side_genre,text_data,cluster_id
To Have and Have Not,1944,7.8,100,Adventure," Comedy,  Film-Noir","Adventure  Comedy,  Film-Noir",33
Bringing Up Baby,1938,7.8,102,Comedy,Comedy,Comedy Comedy,8
A Night at the Opera,1935,7.8,96,Comedy," Music,  Musical","Comedy  Music,  Musical",151
Duck Soup,1933,7.8,69,Comedy, Musical,Comedy  Musical,151
Midnight in Paris,2011,7.7,94,Comedy," Fantasy,  Romance","Comedy  Fantasy,  Romance",103
The Hangover,2009,7.7,100,Comedy,Comedy,Comedy Comedy,8
Office Space,1999,7.7,89,Comedy,Comedy,Comedy Comedy,8
Clerks,1994,7.7,92,Comedy,Comedy,Comedy Comedy,8
Home Alone,1990,7.7,103,Comedy, Family,Comedy  Family,53
Evil Dead II,1987,7.7,84,Comedy, Horror,Comedy  Horror,27
The Purple Rose of Cairo,1985,7.7,82,Comedy," Fantasy,  Romance","Comedy  Fantasy,  Romance",103
The Goonies,1985,7.7,114,Adventure," Comedy,  Family","Adventure  Comedy,  Family",45
Zelig,1983,7.7,79,Comedy,Comedy,Comedy Comedy,8
Airplane!,1980,7.7,88,Comedy,Comedy,Comedy Comedy,8
Love and Death,1975,7.7,85,Comedy, War,Comedy  War,109
What We Do in the Shadows,2014,7.6,86,Comedy, Horror,Comedy  Horror,27
Superbad,2007,7.6,113,Comedy,Comedy,Comedy Comedy,8
Le dîner de cons,1998,7.6,80,Comedy,Comedy,Comedy Comedy,8
Dazed and Confused,1993,7.6,103,Comedy,Comedy,Comedy Comedy,8
The Muppet Movie,1979,7.6,95,Adventure," Comedy,  Family","Adventure  Comedy,  Family",45
"Play It Again, Sam",1972,7.6,85,Comedy, Romance,Comedy  Romance,17
Kelly's Heroes,1970,7.6,144,Adventure," Comedy,  War","Adventure  Comedy,  War",33
The Odd Couple,1968,7.6,105,Comedy,Comedy,Comedy Comedy,8
Stree,2018,7.5,128,Comedy, Horror,Comedy  Horror,27
Tucker and Dale vs Evil,2010,7.5,89,Comedy, Horror,Comedy  Horror,27
"The Adventures of Priscilla, Queen of the Desert",1994,7.5,104,Comedy, Music,Comedy  Music,67
Braindead,1992,7.5,104,Comedy," Fantasy,  Horror","Comedy  Fantasy,  Horror",74
National Lampoon's Christmas Vacation,1989,7.5,97,Comedy,Comedy,Comedy Comedy,8
Beetle Juice,1988,7.5,92,Comedy, Fantasy,Comedy  Fantasy,85
Trading Places,1983,7.5,116,Comedy,Comedy,Comedy Comedy,8
The Meaning of Life,1983,7.5,107,Comedy, Musical,Comedy  Musical,151
An American Werewolf in London,1981,7.5,97,Comedy, Horror,Comedy  Horror,27
And Now for Something Completely Different,1971,7.5,88,Comedy,Comedy,Comedy Comedy,8
The Producers,1967,7.5,88,Comedy, Music,Comedy  Music,67
A Hard Day's Night,1964,7.5,87,Comedy, Musical,Comedy  Musical,151
White Christmas,1954,7.5,120,Comedy," Musical,  Romance","Comedy  Musical,  Romance",113
In the Loop,2009,7.4,106,Comedy,Comedy,Comedy Comedy,8
Best in Show,2000,7.4,90,Comedy,Comedy,Comedy Comedy,8
Galaxy Quest,1999,7.4,102,Adventure," Comedy,  Sci-Fi","Adventure  Comedy,  Sci-Fi",105
Waiting for Guffman,1996,7.4,84,Comedy,Comedy,Comedy Comedy,8
Army of Darkness,1992,7.4,81,Comedy, Horror,Comedy  Horror,27
Radio Days,1987,7.4,88,Comedy,Comedy,Comedy Comedy,8
